id,T
2004928,decomposes before melting
2004935,484.6(5)
2004938,421.5(5)
2004947,471(2)
2004948,.146E-145
2004953,523
2004967,423.15
2004991,407
2004992,375
2005007,.102E-101
2005008,.61E-60
2005011,240.5(5)
2005021,372.6(15)
2005022,412.1(10)
2005023,348.6(5)
2005077,515.0(10)
2005084,373.55(10)
2005119,437.15
2005134,343.0
2005135,343.5
2005144,361
2005167,378.15
2005168,356.15
2005169,351.15
2005176,473.15
2005179,448
2005181,.326E-305
2005188,481
2005193,187
2005208,.366E-305
2005230,331.15
2005235,379
2005263,.191E-193
2005264,407
2005265,.367E-305
2005266,.326E-305
2005267,146-148^o^C
2005323,357.6(5)
2005344,400.1(10)
2005346,422.1(10)
2005352,467.1(10)
2005354,445
2005355,486
2005375,124
2005376,.131
2005378,242
2005380,448.6(5)
2005385,437.6(5)
2005408,353.15
2005411,over 580 K with decomposition
2005414,92
2005415,141
2005416,177
2005417,.23E-228
2005418,.208E-206
2005419,.208E-206
2005423,.116E-114
2005442,406
2005446,427.0(10)
2005447,425.0(10)
2005448,376
2005449,371.0(10)
2005451,.388E-305
2005452,398.0(7)
2005453,.421E-305
2005454,380.5(8)
2005479,365.0(10)
2005482,83.8-84.2iC
2005504,393
2005511,494.1(10)
2005532,.173E-171
2005536,385
2005554,360.0(10)
2005560,348.5(5)
2005572,383
2005578,389.15
2005599,154.6
2005613,494(2)
2005631,266
2005633,422
2005635,380.6(5)
2005636,369
2005637,.379E-305
2005638,.358E-305
2005639,.158E-157
2005640,357
2005641,356
2005644,513.15
2005647,.11E-108
2005656,411.6(5)
2005672,396
2005675,483
2005677,127
2005680,10.5
2005681,8.5
2005685,421.5(5)
2005694,.147E-144
2005697,389
2005713,.208E-208
2005729,271.8
2005730,521.15
2005734,376
2005738,405
2005740,160
2005741,466.5
2005749,419.5(5)
2005755,353
2005774,484.0(10)
2005781,392.1(10)
2005782,.437E-305
2005783,425.6(5)
2005785,.373E-305
2005789,427.6(5)
2005790,417.15
2005806,over 573K with decomposition
2005814,217.5(10)
2005819,371.15
2005824,370
2005825,352.5(5)
2005826,452.5(5)
2005832,90.5(5)
2005833,109.5(5)
2005835,341.8(18)
2005838,240
2005851,545.15
2005860,399
2005862,368(2)
2005865,149.5(5)
2005910,452
2005914,431(2)
2005917,404.5(5)
2005918,454.0(10)
2005925,.521E-305
2005926,.515E-305
2005927,.579E-305
2005944,115.15(15)
2005945,410
2005956,Decomposes before melting 
2005966,184.0(10)
2005974,518
2005976,394.1(10)
2006000,362.1(10)
2006008,373.1(10)
2006009,373.1(10)
2006011,431.1(10)
2006013,.000000124
2006014,194^o^C
2006020,445.0(3)
2006025,297.0(10)
2006028,.269E-267
2006034,396.0(10)
2006072,134.50(10)
2006077,394
2006078,411.0(10)
2006081,310.15
2006082,161.0(2)
2006088,431.6(5)
2006094,400.0(10)
2006099,438
2006109,448
2006134,370.0(10)
2006135,380.5(5)
2006136,396.5(5)
2006137,461
2006138,430.5(5)
2006139,428.8(8)
2006140,419.0(10)
2006141,424.5(15)
2006142,468.2(13)
2006162,.143E-141
2006171,128.0(5)
2006175,.466E-305
2006187,.159E-157
2006198,.2735E-271
2006199,385.15
2006226,580
2006243,378.5(5)
2006249,.355E-305
2006250,.445E-305
2006262,114
2006269,486.0(10)
2006277,329.5(15)
2006291,314
2006298,.439E-305
2006300,527
2006303,469
2006313,420.00(11)
2006332,522
2006338,409.1(10)
2006340,250
2006343,Decomposes before melting
2006348,163
2006351,97.5(5)
2006353,187
2006354,220
2006367,134.8(8)
2006372,357.1(10)
2006373,369.6(5)
2006377,660(10)
2006389,454
2006402,411
2006403,368
2006404,353
2006405,374
2006406,350
2006411,367(2)
2006412,.481E-305
2006417,222-225 (lit. 218-220\%C)
2006433,.411E-305
2006434,453
2006440,528.15
2006441,372.5(5)
2006444,503.6(5)
2006449,400.5(15)
2006458,518.1(10)
2006460,1223
2006465,488.15
2006466,487
2006470,.354E-305
2006506,401.5(5)
2006507,decomposition > 90_C
2006514,24
2006519,377.6(5)
2006535,317
2006543,433.15
2006547,451.6(5)
2006550,466
2006566,.223E-221
2006577,520.15
2006585,387
2006595,330.5(5)
2006605,378(2)
2006606,330(2)
2006608,449
2006609,335(5)
2006611,474
2006612,146
2006617,135.5(5)
2006619,482
2006622,422
2006624,344.5(6)
2006627,519(3)
2006628,464.0(10)
2006629,422.5(5)
2006634,513
2006644,434.1(10)
2006652,.378E-305
2006654,446.5(5)
2006660,166.80(10)
2006669,436
2006683,459
2006691,416
2006695,373.15
2006696,145-147\%C (decomp.)
2006697,354.1(10)
2006704,404
2006710,.124E-122
2006716,389
2006727,300
2006728,579.15
2006733,387.75(5)
2006734,.26E-259
2006735,.188E-187
2006742,391.1(10)
2006746,444.15
2006755,355.15
2006759,407.6(5)
2006760,362.6(5)
2006765,511.15
2006766,519.65
2006767,472.6(10)
2006773,1200
2006784,248.5
2006785,287
2006790,420.1(10)
2006803,384-385\%K
2006804,146.5(4)
2006809,.422E-305
2006810,386
2006811,340
2006819,280.4(11)
2006821,95
2006827,295
2006847,240(2)
2006849,299
2006850,.146E-145
2006853,.149E-147
2006854,97.5
2006856,77.9
2006857,74.9(5)
2006858,102
2006888,411.0(10)
2006889,324.5(5)
2006907,506.1(10)
2006932,460.4
2006933,122.0(10)
2006934,413.0(10)
2006937,467.5(5)
2006944,397
2006946,442
2006950,449
2006951,370
2006952,333.0(10)
2006953,395
2006958,226.0(10)
2006980,446.1(10)
2006982,220(6)
2006992,386
2006997,258
2007001,.28E-279
2007002,220
2007015,.88E-94
2007052,431(3)
2007067,481.15
2007069,300
2007070,423
2007075,538.15
2007076,526
2007077,526
2007082,346.5(5)
2007083,387.5(5)
2007094,456.1(10)
2007110,384
2007115,487
2007117,394.5(15)
2007122,190
2007125,.321E-305
2007152,12.0
2007155,304
2007177,363(4)
2007181,252
2007183,148.5
2007192,.44E-305
2007204,2.01
2007205,171.5(5)
2007212,579(2)
2007213,491.6(15)
2007214,501(2)
2007215,414.1(10)
2007218,.361E-305
2007228,.297E-297
2007236,.491E-305
2007239,155
